vi,ctrl,sx,sy,cx,cy,btns,value
2112,0,0,-6,0,0,0,000000fb
2116,0,0,-5,0,0,0,000000fc
2120,0,0,-4,0,0,0,000000fd
2124,0,0,-3,0,0,0,000000fe
2128,0,0,-2,0,0,0,000000fe
2132,0,0,-1,0,0,0,000000ff
2136,0,0,0,0,0,0,00000000
2140,0,0,1,0,0,0,00000001
2144,0,0,2,0,0,0,00000002
2148,0,0,3,0,0,0,00000002
2152,0,0,4,0,0,0,00000003
2156,0,0,5,0,0,0,00000004
2160,0,0,6,0,0,0,00000005
2164,0,0,7,0,0,0,00000006
2168,0,0,8,0,0,0,00000007
2172,0,0,9,0,0,0,00000007
2176,0,0,10,0,0,0,00000008
2180,0,0,11,0,0,0,00000009
2184,0,0,12,0,0,0,0000000a
2188,0,0,13,0,0,0,0000000b
2192,0,0,14,0,0,0,0000000b
2196,0,0,15,0,0,0,0000000c
2200,0,0,16,0,0,0,0000000d
2204,0,0,17,0,0,0,0000000e
2208,0,0,18,0,0,0,0000000f
2212,0,0,19,0,0,0,0000000f
2216,0,0,20,0,0,0,00000010
2220,0,0,21,0,0,0,00000011
2224,0,0,22,0,0,0,00000012
2228,0,0,23,0,0,0,00000013
2232,0,0,24,0,0,0,00000014
2236,0,0,25,0,0,0,00000014
2240,0,0,26,0,0,0,00000015
2244,0,0,27,0,0,0,00000016
2248,0,0,28,0,0,0,00000017
2252,0,0,29,0,0,0,00000018
2256,0,0,30,0,0,0,00000018
2260,0,0,31,0,0,0,00000019
2264,0,0,32,0,0,0,0000001a
2269,0,0,33,0,0,0,0000001b
2272,0,0,34,0,0,0,0000001c
2277,0,0,35,0,0,0,0000001c
2282,0,0,36,0,0,0,0000001d
2284,0,0,37,0,0,0,0000001e
2288,0,0,38,0,0,0,0000001f
2292,0,0,39,0,0,0,00000020
2296,0,0,40,0,0,0,00000021
2300,0,0,41,0,0,0,00000021
2304,0,0,42,0,0,0,00000022
2308,0,0,43,0,0,0,00000023
2312,0,0,44,0,0,0,00000024
2316,0,0,45,0,0,0,00000025
2320,0,0,46,0,0,0,00000025
2324,0,0,47,0,0,0,00000026
2328,0,0,48,0,0,0,00000027
2332,0,0,49,0,0,0,00000028
2336,0,0,50,0,0,0,00000029
2340,0,0,51,0,0,0,00000029
2344,0,0,52,0,0,0,0000002a
2348,0,0,53,0,0,0,0000002b
2352,0,0,54,0,0,0,0000002c
2356,0,0,55,0,0,0,0000002d
2360,0,0,56,0,0,0,0000002e
2364,0,0,57,0,0,0,0000002e
2368,0,0,58,0,0,0,0000002f
2372,0,0,59,0,0,0,00000030
2376,0,0,60,0,0,0,00000031
2380,0,0,61,0,0,0,00000032
2384,0,0,62,0,0,0,00000032
2388,0,0,63,0,0,0,00000033
2392,0,0,64,0,0,0,00000034
2396,0,0,65,0,0,0,00000035
2400,0,0,66,0,0,0,00000036
2404,0,0,67,0,0,0,00000037
2408,0,0,68,0,0,0,00000037
2412,0,0,69,0,0,0,00000038
2416,0,0,70,0,0,0,00000039
2420,0,0,71,0,0,0,0000003a
2424,0,0,72,0,0,0,0000003b
2428,0,0,73,0,0,0,0000003b
2432,0,0,74,0,0,0,0000003c
2436,0,0,75,0,0,0,0000003d
2440,0,0,76,0,0,0,0000003e
2444,0,0,77,0,0,0,0000003f
2448,0,0,78,0,0,0,0000003f
2452,0,0,79,0,0,0,00000040
2456,0,0,80,0,0,0,00000041
2461,0,0,81,0,0,0,00000042
2465,0,0,82,0,0,0,00000043
2469,0,0,83,0,0,0,00000044
2473,0,0,84,0,0,0,00000044
2477,0,0,85,0,0,0,00000045
2480,0,0,86,0,0,0,00000046
2485,0,0,87,0,0,0,00000047
2490,0,0,88,0,0,0,00000048
2492,0,0,89,0,0,0,00000048
2496,0,0,90,0,0,0,00000049
2501,0,0,91,0,0,0,0000004a
2505,0,0,92,0,0,0,0000004b
2509,0,0,93,0,0,0,0000004c
2513,0,0,94,0,0,0,0000004c
2517,0,0,95,0,0,0,0000004d
2522,0,0,96,0,0,0,0000004e
2525,0,0,97,0,0,0,0000004f
2529,0,0,98,0,0,0,00000050
2533,0,0,99,0,0,0,00000051
2537,0,0,100,0,0,0,00000051
2542,0,0,101,0,0,0,00000052
2544,0,0,102,0,0,0,00000052
2548,0,0,103,0,0,0,00000052
2552,0,0,104,0,0,0,00000052
2556,0,0,105,0,0,0,00000052
2560,0,0,106,0,0,0,00000052
2565,0,0,107,0,0,0,00000052
2569,0,0,108,0,0,0,00000052
2574,0,0,109,0,0,0,00000052
2576,0,0,110,0,0,0,00000052
2580,0,0,111,0,0,0,00000052
2584,0,0,112,0,0,0,00000052
2588,0,0,113,0,0,0,00000052
2592,0,0,114,0,0,0,00000052
2597,0,0,115,0,0,0,00000052
2601,0,0,116,0,0,0,00000052
2605,0,0,117,0,0,0,00000052
2609,0,0,118,0,0,0,00000052
2613,0,0,119,0,0,0,00000052
2616,0,0,120,0,0,0,00000052
2620,0,0,121,0,0,0,00000052
2624,0,0,122,0,0,0,00000052
2628,0,0,123,0,0,0,00000052
2632,0,0,124,0,0,0,00000052
2636,0,0,125,0,0,0,00000052
2640,0,0,126,0,0,0,00000052
2644,0,0,127,0,0,0,00000052
2649,0,0,0,-128,0,0,00020000
2653,0,0,0,-127,0,0,00020000
2658,0,0,0,-126,0,0,00020000
2660,0,0,0,-125,0,0,00020000
2665,0,0,0,-124,0,0,00020000
2669,0,0,0,-123,0,0,00020000
2673,0,0,0,-122,0,0,00020000
2678,0,0,0,-121,0,0,00020000
2680,0,0,0,-120,0,0,00020000
2684,0,0,0,-119,0,0,00020000
2689,0,0,0,-118,0,0,00020000
2694,0,0,0,-117,0,0,00020000
2696,0,0,0,-116,0,0,00020000
2700,0,0,0,-115,0,0,00020000
2704,0,0,0,-114,0,0,00020000
2709,0,0,0,-113,0,0,00020000
2713,0,0,0,-112,0,0,00020000
2717,0,0,0,-111,0,0,00020000
2720,0,0,0,-110,0,0,00020000
2724,0,0,0,-109,0,0,00020000
2728,0,0,0,-108,0,0,00020000
2733,0,0,0,-107,0,0,00020000
2737,0,0,0,-106,0,0,00020000
2740,0,0,0,-105,0,0,00020000
2744,0,0,0,-104,0,0,00020000
2748,0,0,0,-103,0,0,00020000
2753,0,0,0,-102,0,0,00020000
2757,0,0,0,-101,0,0,00020000
2761,0,0,0,-100,0,0,00020000
2765,0,0,0,-99,0,0,00020000
2769,0,0,0,-98,0,0,00020000
2773,0,0,0,-97,0,0,00020000
2777,0,0,0,-96,0,0,00020000
2781,0,0,0,-95,0,0,00020000
2785,0,0,0,-94,0,0,00020000
2789,0,0,0,-93,0,0,00020000
2793,0,0,0,-92,0,0,00020000
2797,0,0,0,-91,0,0,00020000
2801,0,0,0,-90,0,0,00020000
2805,0,0,0,-89,0,0,00020000
2809,0,0,0,-88,0,0,00020000
2814,0,0,0,-87,0,0,00020000
2816,0,0,0,-86,0,0,00020000
2820,0,0,0,-85,0,0,00020000
2824,0,0,0,-84,0,0,00020000
2829,0,0,0,-83,0,0,00020000
2833,0,0,0,-82,0,0,00020000
2838,0,0,0,-81,0,0,00020000
2840,0,0,0,-80,0,0,00020000
2845,0,0,0,-79,0,0,00020000
2849,0,0,0,-78,0,0,00020000
2853,0,0,0,-77,0,0,00020000
2856,0,0,0,-76,0,0,00020000
2861,0,0,0,-75,0,0,00020000
2866,0,0,0,-74,0,0,00020000
2868,0,0,0,-73,0,0,00020000
2873,0,0,0,-72,0,0,00020000
2876,0,0,0,-71,0,0,00020000
2881,0,0,0,-70,0,0,00020000
2885,0,0,0,-69,0,0,00020000
2888,0,0,0,-68,0,0,00020000
2892,0,0,0,-67,0,0,00020000
2896,0,0,0,-66,0,0,00020000
2900,0,0,0,-65,0,0,00020000
2904,0,0,0,-64,0,0,00020000
2908,0,0,0,-63,0,0,00020000
2912,0,0,0,-62,0,0,00020000
2916,0,0,0,-61,0,0,00020000
2920,0,0,0,-60,0,0,00020000
2924,0,0,0,-59,0,0,00020000
2928,0,0,0,-58,0,0,00020000
2932,0,0,0,-57,0,0,00020000
2936,0,0,0,-56,0,0,00020000
2940,0,0,0,-55,0,0,00020000
2944,0,0,0,-54,0,0,00020000
2948,0,0,0,-53,0,0,00020000
2952,0,0,0,-52,0,0,00020000
2956,0,0,0,-51,0,0,00020000
2960,0,0,0,-50,0,0,00020000
2964,0,0,0,-49,0,0,00020000
2968,0,0,0,-48,0,0,00000000
2972,0,0,0,-47,0,0,00000000
2976,0,0,0,-46,0,0,00000000
2981,0,0,0,-45,0,0,00000000
2985,0,0,0,-44,0,0,00000000
2989,0,0,0,-43,0,0,00000000
2993,0,0,0,-42,0,0,00000000
2996,0,0,0,-41,0,0,00000000
3001,0,0,0,-40,0,0,00000000
3005,0,0,0,-39,0,0,00000000
3009,0,0,0,-38,0,0,00000000
3012,0,0,0,-37,0,0,00000000
3016,0,0,0,-36,0,0,00000000
3020,0,0,0,-35,0,0,00000000
3024,0,0,0,-34,0,0,00000000
3029,0,0,0,-33,0,0,00000000
3034,0,0,0,-32,0,0,00000000
3036,0,0,0,-31,0,0,00000000
3040,0,0,0,-30,0,0,00000000
3044,0,0,0,-29,0,0,00000000
3048,0,0,0,-28,0,0,00000000
3052,0,0,0,-27,0,0,00000000
3056,0,0,0,-26,0,0,00000000
3060,0,0,0,-25,0,0,00000000
3064,0,0,0,-24,0,0,00000000
3068,0,0,0,-23,0,0,00000000
3072,0,0,0,-22,0,0,00000000
3078,0,0,0,-21,0,0,00000000
